text,datum,statsminister
"Regeringsförklaring, 19811006, Torbjörn Fälldin",1981-10-06,Torbjörn Fälldin
"Eders Majestäter, Eders Kungliga Högheter,",1981-10-06,Torbjörn Fälldin
"Herr talman,",1981-10-06,Torbjörn Fälldin
Ledamöter av Sveriges riksdag!,1981-10-06,Torbjörn Fälldin
"I en konfliktfylld värld måste alla bidra till att främja avspänning, nedrustning och fred. Vi måste värna om de mänskliga fri- och rättigheterna.",1981-10-06,Torbjörn Fälldin
Supermakternas kärnvapenupprustning fortsätter. Kärnvapnen riskerar också att spridas till nya länder och områden. Därtill kommer upprustningen med konventionella vapen.,1981-10-06,Torbjörn Fälldin
"Mot detta står en växande folklig opinion för fred, som det gäller att ta till vara. Den svenska regeringen är beredd att spela en fortsatt aktiv roll arbetet för fred och nedrustning i världen.",1981-10-06,Torbjörn Fälldin
Ett uttryck för fredssträvandena är tanken på en kärnvapenfri zon i Norden. Den fortsatta diskussionen om en sådan zon måste föras med respekt för att de nordiska länderna valt olika säkerhetspolitiska lösningar. Syftet måste vara att befästa och ytterligare stärka säkerheten i Norden.,1981-10-06,Torbjörn Fälldin
Nedrustning förutsätter fortgående samtal mellan supermakterna. Regeringen ser med tillfredsställelse att förhandlingar om de s.k. eurostrategiska kärnvapnen i Europa kommer att inledas om några månader.,1981-10-06,Torbjörn Fälldin
"I avvaktan på reella framsteg i nedrustningsarbetet kräver den svenska alliansfria utrikespolitiken, som syftar till neutralitet i krig, ett för våra förhållanden starkt totalförsvar. Det är också ett svenskt intresse att den säkerhetspolitiska stabiliteten i vår del av världen bevaras.",1981-10-06,Torbjörn Fälldin
Nästa större försvarsbeslut skall fattas våren 1982. Det förbereds nu av 1978 års försvarskommitté. Försvarskommittén behandlar totalförsvarsgrenarnas uppgifter och resursbehov under den kommande femårsperioden. På det militära området förbereds bl.a. omfattande ändringar i fredsorganisationen. Kommittén behandlar också frågan om anskaffning av 1990-talets stridsflygplan.,1981-10-06,Torbjörn Fälldin
Situationen i Polen inger oro. Vi följer med sympati det polska folkets strävanden för ökad demokrati. Det polska folket måste utan yttre inblandning självt få avgöra sin politiska framtid.,1981-10-06,Torbjörn Fälldin
"Det finns, särskilt hos supermakterna, en tendens att betrakta alla konflikter som ett utflöde av motsättningar mellan de båda maktblocken. Men konflikterna i t.ex. södra Afrika, Centralamerika och Mellersta Östern har i första hand nationella, religiösa, etniska, sociala och ekonomiska orsaker.",1981-10-06,Torbjörn Fälldin
Regeringen ser med särskilt allvar på Sydafrikas väpnade attacker mot Angola. Sydafrika måste förmås att upphäva sin olagliga ockupation av Namibia och att bryta upp sitt avskyvärda rasåtskillnadssystem. Sverige fortsätter sitt stöd för frihetskampen och strävandena till majoritetsstyre i hela södra Afrika.,1981-10-06,Torbjörn Fälldin
"Den ekonomiska krisen i världen har inneburit att utvecklingsländerna, särskilt de allra fattigaste, har fått sin situation ytterligare förvärrad. Sverige kommer att fortsätta att lämna ett omfattande utvecklingsbistånd, i första hand inriktat på de fattigaste länderna.",1981-10-06,Torbjörn Fälldin
"Det gäller också att stärka dessa länders ställning i den internationella handeln, förbättra deras livsmedels- och energiförsörjning samt att möjliggöra en snabbare utveckling av det egna näringslivet. Det kommande toppmötet i Mexiko, där Sverige deltar, utgör ett led i dessa ansträngningar.",1981-10-06,Torbjörn Fälldin
"Regeringen har för kort tid sedan lagt fram ett omfattande program för att få fart på den svenska ekonomin. Bättre balans mellan import och export, stabilare valutaförhållanden och utsikter till lägre inflationstakt gör det nu möjligt att satsa offensivare på investeringar för framtiden och därmed skapa ökad sysselsättning. Samtidigt är det nödvändigt att visa fortsatt stor återhållsamhet i fråga om både privat och offentlig konsumtion. Kampen mot inflationen måste fortsätta med oförminskad styrka.",1981-10-06,Torbjörn Fälldin
Regeringens septemberprogram är bl.a. inriktat på att förbättra industrins kostnadsläge. Den internationella valutakursutvecklingen har förvärrat situationen för många av de konkurrensutsatta företagen. Det behövs dessutom långsiktigt en förstärkning av den utlandskonkurrerande industrin för att Sverige skall återvinna ekonomisk styrka.,1981-10-06,Torbjörn Fälldin
"Devalveringen och prisstoppet måste åtföljas av åtgärder, som tryggar en lugnare prisutveckling och förbättrar näringslivets produktionsförmåga. För att tillförsäkra industrin tillräckliga resurser i fråga om kapital och arbetskraft måste takten i de offentliga utgiftsökningarna ytterligare sänkas. Det innebär att fortsatta förbättringar genomförs i långsammare takt.",1981-10-06,Torbjörn Fälldin
Som förutskickats lägger regeringen nu vid riksmötets början fram förslag om bl.a. sänkt mervärdesskatt. Denna åtgärd är ett viktigt inslag i kampen mot inflationen men också nödvändig för att hålla den privata konsumtionen på en acceptabel nivå. Effekterna på statsbudgeten motverkas genom att tidigare planerade besparingar i viss utsträckning tidigareläggs.,1981-10-06,Torbjörn Fälldin
"Samtidigt läggs en rad förslag fram som syftar till ett bättre utnyttjande av produktionsförmågan inom industri och övrigt näringsliv. De omfattar bl.a. en förlängning och omläggning av det extra investeringsavdraget, åtgärder för att öka virkesutbudet och insatser för teknisk utveckling och forskning. Regeringen kommer senare att lägga fram förslag om vidgad rätt till provanställningar inom ramen för en ny lag om anställningsskydd. Dessa och andra inslag i regeringens ekonomiska politik utgår från att en socialt anpassad marknadsekonomi bättre än planhushållning främjar välfärd och ekonomisk tillväxt.",1981-10-06,Torbjörn Fälldin
Sysselsättningen i Sverige är i internationellt perspektiv mycket hög. Aldrig tidigare har så många varit i arbete. Trots detta inger arbetslöshetssituationen inför vintern oro. Den arbetsmarknadspolitiska beredskapen förstärks därför ytterligare. Vårens åtgärder kompletteras med bl.a. ökade anslag till beredskapsarbeten och ökat offentligt byggande i avvaktan på att de ekonomisk-politiska åtgärderna skall få full effekt.,1981-10-06,Torbjörn Fälldin
Det är angeläget att de av regeringen aviserade åtgärderna genomförs så fort som möjligt. Förseningar riskerar att leda till onödig arbetslöshet under vintern och till att kampen mot inflationen försvåras.,1981-10-06,Torbjörn Fälldin
En förstärkning av den svenska ekonomin och en rättvis fördelning av produktionsresultatet ställer också krav på skattereformer. Ett nytt skattesystem måste stimulera till arbete och sparande samt motverka spekulation i avdrag.,1981-10-06,Torbjörn Fälldin
"Riksdagen kommer under våren att föreläggas förslag till en samlad skattereform, grundad på uppgörelsen mellan centerpartiet, folkpartiet och socialdemokraterna. Reformen innebär kraftigt sänkta marginalskatter i kombination med en minskad skatteeffekt från s.k. underskottsavdrag i höga inkomstlägen.",1981-10-06,Torbjörn Fälldin
Även på andra områden måste arbetet med att skapa större skatterättvisa föras vidare. Det gäller också åtgärder mot skattefusk och skatteflykt. Riksdagen kommer under arbetsåret att bl.a. föreläggas förslag rörande s.k. grå arbetskraft samt förbättrad kontroll av inkomst- och utgiftsråntor.,1981-10-06,Torbjörn Fälldin
Kampen mot den ekonomiska och organiserade brottsligheten förs vidare. Den särskilda organisationen för detta ändamål inom polisen byggs ytterligare ut.,1981-10-06,Torbjörn Fälldin
Insatser för utbildning och forskning är en viktig investering för framtiden. Den nya läroplanen för grundskolan innebär bättre möjligheter att förbereda eleverna för de krav som väntar ute i arbetslivet.,1981-10-06,Torbjörn Fälldin
Fler ungdomar behöver söka sig till industrisektorn. En omfördelning av resurserna inom gymnasieskolan kommer att eftersträvas till förmån för de yrkesinriktade utbildningarna.,1981-10-06,Torbjörn Fälldin
Antalet ungdomar i 20-årsåldern ökar just nu kraftigt. Det behövs därför en successiv ökning av antalet platser inom den högre utbildningen.,1981-10-06,Torbjörn Fälldin
"De senaste årens decentraliseringspolitik på skolans område kommer att fortsätta. Förslag läggs fram om effektivare skolplanering, som bättre tillgodoser skilda förutsättningar i tätorter och glesbygd, stärker det lokala inflytandet och ökar möjligheterna att upprätthålla mindre skolenheter.",1981-10-06,Torbjörn Fälldin
En övergripande forskningspolitisk proposition läggs fram till våren i syfte att förbättra forskningens villkor. Kontakterna mellan forskningen och samhället kommer att stärkas.,1981-10-06,Torbjörn Fälldin
På kultur- och medieområdet strävar regeringen bl.a. efter att främja bredden i opinionsbildningen och att ge människor möjligheter till berikande kulturupplevelser oberoende av var de bor. Förslag till riksdagen förbereds bl.a. beträffande närradion.,1981-10-06,Torbjörn Fälldin
1970-talets industripolitik var i hög grad inriktad på att klara omstruktureringen av tunga svenska industrisektorer. Sammanlagt närmare 100 000 anställda berördes direkt av de statliga insatserna.,1981-10-06,Torbjörn Fälldin
I takt med att industrins konkurrenskraft stärks skapas ökat utrymme för insatser i syfte att påskynda den industriella förnyelsen. De mindre och medelstora företagen spelar härvid en central roll.,1981-10-06,Torbjörn Fälldin
"En särskild småföretagsproposition läggs fram till våren. Den kommer framför allt att inriktas på åtgärder som stimulerar nyföretagande, utveckling av ny teknik och marknadsföring av nya produkter.",1981-10-06,Torbjörn Fälldin
Regeringen avser vidare att för riksmötet redovisa en samlad syn på kooperationens ställning i näringslivet. En delegation har nyligen inrättats för att främja tillkomsten av arbetskooperativa och löntagarägda företag.,1981-10-06,Torbjörn Fälldin
Marknadsekonomin förutsätter en effektiv konkurrens. För att motverka skadliga konkurrensbegränsningar kommer regeringen att föreslå en ny konkurrensbegränsningslag.,1981-10-06,Torbjörn Fälldin
Förslag läggs under detta riksmöte också fram om en ny regionalpolitik. Åtgärder presenteras som främjar sysselsättning och utveckling i Norrbottens län.,1981-10-06,Torbjörn Fälldin
Den nya energipolitiken innebär bl.a. stora satsningar för att införa nya och förnybara energikällor. Det närmaste året förestår bl.a. en reformering och effektivisering av myndighetsorganisationen på energiområdet. För att säkerställa riksdagens beslut om avveckling av kärnkraften tillkallas inom kort en parlamentarisk kommitté med uppgift att föreslå en plan för kärnkraftens avveckling samt åtgärder för att minska vårt stora oljeberoende.,1981-10-06,Torbjörn Fälldin
På trafikområdet måste bl.a. SJ:s möjligheter att konkurrera aktivt om resenärer och gods värnas. Riktlinjer läggs fram för det framtida trafiksäkerhetsarbetet och för luftfartspolitiken.,1981-10-06,Torbjörn Fälldin
"Den snabba utvecklingen på dataområdet och dess konsekvenser för samhällsstruktur, sysselsättning och integritet samt datateknikens sårbarhet ställer krav på en samlad datapolitik. Förslag på detta område läggs fram under våren.",1981-10-06,Torbjörn Fälldin
Inom bostadspolitiken fortsätter arbetet på att åstadkomma rättvisa i boendet. I en situation när de totala bostadssubventionerna inte kan fortsätta att öka måste särskild vikt läggas vid att uppnå rättvisa i fråga om kostnaderna mellan olika upplåtelseformer. De sociala målen för bostadspolitiken ligger fast.,1981-10-06,Torbjörn Fälldin
Förslag läggs fram i syfte att underlätta övergång från hyresrätt till bostadsrätt. Ett förslag till ny plan- och bygglag kommer att remitteras till Lagrådet för granskning till våren.,1981-10-06,Torbjörn Fälldin
"Arbetet fortsätter med att åstadkomma geografisk och administrativ decentralisering inom den offentliga förvaltningen. Detta innefattar bl, a. decentralisering av beslutsbefogenheter och åtgärder för att bekämpa krångel och onödig byråkrati.",1981-10-06,Torbjörn Fälldin
Kommunerna får successivt bättre möjligheter att anpassa verksamheten till de lokala förhållandena. Statliga regler minskar i omfattning. Nya framställningar om ändrad kommunindelning kommer att prövas i positiv anda.,1981-10-06,Torbjörn Fälldin
"Ett allmänt kyrkomöte är inkallat till våren 1982. Riksdagen föreläggs under året ett flertal förslag i kyrkliga frågor, bl.a. rörande kyrkomötet och de kvinnliga prästernas ställning.",1981-10-06,Torbjörn Fälldin
På det socialpolitiska området slår regeringen vakt om grundtryggheten också i ekonomiskt kärva tider. Förslag till fortsatt utbyggnad av pensionstillskotten till pensionärer med låg eller ingen ATP kommer att läggas fram.,1981-10-06,Torbjörn Fälldin
Ett högriskskydd planeras inom sjukförsäkringen för grupper som av medicinska skäl har hög korttidsfrånvaro. Detta sker samtidigt som regeringen lägger fram förslag till besparingar och införande av viss självrisk i sjukförsäkringssystemet.,1981-10-06,Torbjörn Fälldin
Arbetet med att förbättra villkoren för de handikappade fortsätter.,1981-10-06,Torbjörn Fälldin
Riksdagen tar inom kort ställning till regeringens förslag till ny lag för vård av vuxna drogmissbrukare. Ytterligare åtgärder sätts in mot narkotikabrottsligheten. Ett samlat program på alkohol- och narkotikaområdet avses föreläggas riksmötet under våren.,1981-10-06,Torbjörn Fälldin
"Förslag kommer också att läggas fram om en samordning av socialförsäkringssystemets olika delar för att uppnå ökad rättvisa, förenkling och överskådlighet.",1981-10-06,Torbjörn Fälldin
Arbetet för jämställdhet drivs vidare. Att kvinnor och män skall ha lika möjligheter och samma ansvar är en självklar utgångspunkt för regeringens politik på olika områden.,1981-10-06,Torbjörn Fälldin
En allt större del av Sveriges befolkning är invandrare. Inte minst måste situationen för invandrarungdomar och andra generationens invandrare uppmärksammas.,1981-10-06,Torbjörn Fälldin
"Regeringen kommer under året att lägga fram förslag till ändringar i utlänningslagen, effektivare svenskundervisning för invandrare och en ny ansvarsfördelning när det gäller omhändertagandet av flyktingar.",1981-10-06,Torbjörn Fälldin
Försurningen av mark och vatten utgör ett av de allvarligaste hoten mot vår miljö. Regeringen har inbjudit till en internationell konferens om försurning 1982. Ett långtidsprogram med åtgärder mot försurningen kommer också att presenteras. Det kommer bl.a. att behandla miljökraven vid koleldning. Användningen av bekämpningsmedel mot lövsly i skogsmark föreslås i princip bli förbjuden.,1981-10-06,Torbjörn Fälldin
"Vår tid präglas av snabba förändringar. De griper djupt in i människans tillvaro. Hela världssamfundet har genom oljechockerna och andra förändringar utsatts för starka störningar, som ger utslag i arbetslöshet. inflation och svag ekonomisk tillväxt. Detta kan skapa oro, sociala spänningar och misstro mot demokratiska institutioner.",1981-10-06,Torbjörn Fälldin
Vi bär alla ansvar för att en sådan utveckling förhindras och att människorna återvinner en stark tro på framtiden.,1981-10-06,Torbjörn Fälldin
"Sverige är bättre rustat än de flesta andra nationer att ta på sig de uppoffringar i nuet som erfordras för att bygga ett gott framtidssamhälle. Villkoret är att vi beslutsamt griper oss an med problemen, de ekonomiska såväl som de som rör miljö och livskvalitet. Bördorna måste bäras solidariskt och framtidsfrågorna lösas i samverkan. På dessa grundvalar bygger regeringen en politik i hela folkets intresse.",1981-10-06,Torbjörn Fälldin
"Regeringsförklaring, 19821008, Olof Palme",1982-10-08,Olof Palme
Regeringen kommer att fast och bestämt fullfölja neutralitetspolitiken. Denna självständiga politik stödd på ett efter våra förhållanden starkt försvar bidrar till lugnet och stabiliteten i norra Europa. Om krig hotar hjälper den oss att behålla freden. Det svenska territoriet skall skyddas mot kränkningar med alla fillgängliga medel. Förtroendet för vår vilja och förmåga att bevara neutraliteten måste vidmakthållas. ,1982-10-08,Olof Palme
"Det får varken skapas farhågor eller förväntningar om att Sverige ens under starkt yttre tryck skulle överge sin neutralitetspolitik. Den svenska nationen står enad kring grundlinjerna i utrikespolitiken. Det är en ovärderlig tillgång som måste bevaras. I de nordiska länderna finns inga kärnvapen. Regeringen finner det viktigt att detta läge består. Den eftersträvar överenskommelser som bl. a. gör Norden till en kärnvapenfri zon. Sådana överenskommelser kan lindra spänningarna mellan blocken och minska risken för att länderna utsätts för kärnvapenanfall. Upprustningen fortsätter och ökar. Den slukar en skrämmande stor del av de ekonomiska och tekniska resurser som erfordras för att bekämpa massarbetslöshet och massfattigdom. Regeringen kommer att föra en aktiv frédspolitik som bl. a. syftar till att främja en verklig nedrustning. Våldet härskar i många delar av världen. Folkrätten kränks genom angrepp över gränserna. Överenskommelser om förbud mot tortyr och om skydd av civila bryts medvetet. Beslut av Förenta nafionernas säkerhetsråd åsidosätts. För ett land som Sverige är detta en farlig utveckling. Regeringen kommer att kraftfullt hävda de grundsatser om mellanfolklig samlevnad som finns inskrivna i Förenta nationernas stadgar. Den kommer att verka för en förstärkning av Förenta nationernas möjligheter att undanröja hot mot freden och att ingripa mot fredsbrott. Vi vill visa öppenhet mot omvärlden och vi är beredda fill ett omfattande internationellt samarbete. Med våra nordiska grannar vill vi ytterligare utveckla de bestående nära och omfattande förbindelserna. Vi avser att undersöka vad som kan göras för att ytterligare främja det kulturella utbytet och för att genom gemensamma ansträngningar utvinna största möjliga nytta av våra ekonomiska och tekniska tillgångar. Regeringen avser främja det alleuropeiska samarbetet bl. a. inom den europeiska säkerhetskonferensen och verka för att en politik för avspänning i Europa förs vidare. Ett utbyggt samarbete mellan Europas länder är nödvändigt för att bryta den ekonomiska krisen och nedbringa den skrämmande höga arbetslöshe ten. Vi vill på grundval av samarbetet i Norden, inom EFTA och vårt frihandelsavtal med EG öka utbytet av erfarenheter och söka överenskom melser till ömsesidigt gagn. I den tredje världen kämpar ännu många folk för att vinna självständighet mot inre och yttre förtryck. De har vårt stöd. I det stora flertalet av u-länderna härskar nöd. De rikare länderna har en förpliktelse att vara med i kampen mot nöden. Vi bör göra det i en anda av solidaritet, men också därför att vi vet att den oro och förtvivlan som nöden och orättvisorna väcker hotar att leda till våld och krig. Nord och syd har ett ömsesidigt intresse att främja ekonomisk utveckling och en mera rättvis världsordning. En generös flyktingpolitik är ett viktigt uttryck för internationell solidaritet omsatt i praktisk handling. Regeringen kommer med kraft att motverka de tendenser fill rasism och diskriminering av invandrare som på senare tid gjort sig gällande i det svenska samhället. Regeringen kommer att fullfölja 1982 års försvarsbeslut med den inriktning som vi förordat i samband med detta beslut. En omedelbar analys kommer att göras av JAS-projektets ekonomi. Herr talman! Den nya regeringen övertar regeringsmakten i ett för landet utomordentligt allvarligt läge. Ekonomin har försvagats under flera år, och under 1982 förstärks nedgången. Någon ljusning i konjunkturen synes varken i den inhemska ekonomin eller internationellt. Den internationella ekonomin kännetecknas av en fortsatt och allt djupare ekonomisk kris. Mycket talar för att världsekonomin glidit in i en djupgående och långvarig strukturell kris. Den tar sig uttryck i stagnerande produkfion och en ständigt ökande arbetslöshet. Investeringarna minskar och förebådar därmed fortsatt låg tillväxttakt och stigande arbetslöshet. Läget i den svenska ekonomin kännetecknas av grundläggande struktu rella obalanser. Vårt varu- och tjänsteutbyte med omvärlden visar fortsatt högt under skott. Underskottet i statens budget fortsätter att öka. Industrisysselsättningen har sedan mitten av 1970-talet minskat med 160 000 personer. Investeringsvolymen har minskat med en tredjedel. Industriproduktionen har utvecklats svagare än i något annat jämförbart land. Den pågående industriella nedgången innebär att själva den bas på vilken vårt välstånd byggts upp urholkas, samtidigt som vår kapacitet att återbetala de stora utlandslån Sverige iklätt sig minskar. Sysselsättningen försämras i snabb takt. Arbetslösheten stiger tiU nya rekordnivåer och antalet lediga platser sjunker. Likväl har vi ännu inte sett de fulla effekterna av de senaste årens åtstramnings- och nedskärningspoli-fik. Vi kommer under betydande fid framöver att på arbetsmarknaden ha kvardröjande effekter av den hitfiUs förda polifiken. Att gå vidare på denna väg skulle medföra en fortsatt snabb ökning av arbetslösheten. För att motverka denna skulle myndigheterna tvingas till massiva stödåtgärder för att hålla industrin vid Uv. Sverige skulle i ökande grad få förlita sig på ett med statssubvenfioner vidmakthållet näringsliv. Sverige som industrinafion skulle hotas och den ökande utländska skuldsätt ningen gradvis urholka vårt nationeUa oberoende. Den ekonomiska politiken måste nu läggas om. Vi måste försöka hejda den nuvarande nedgången och ge den svenska ekonomin vind i seglen. 4 Riksdagens protokoll 1982/83:1-9",1982-10-08,Olof Palme
"Den ekonomiska politik som regeringen nu förordar har till mål - att mobilisera hela nationen och alla våra resurser i kampen mot arbetslösheten. Av särskild vikt är att begränsa ungdomsarbetslösheten. De allra flesta människor i vårt land torde vara överens om att bland det viktigaste i vårt samhälle är att unga människor kan få ett arbete, att de inte skall behöva känna sig stå vid sidan av samhället.",1982-10-08,Olof Palme
    att skapa balans i vår ekonomi och minska behovet av att låna i utlandet. Ett centralt led i detta arbete är att stärka och utveckla den industriella basen för vår ekonomi.,1982-10-08,Olof Palme
    att de bördor som blir nödvändiga för att trygga sysselsättningen och vårt ekonomiska oberoende får bäras av alla grupper i samhället och fördelas efter bärkraft.,1982-10-08,Olof Palme
    att bekämpa inflationen. De övriga målen för den ekonomiska politiken kan på sikt inte uppnås om vi inte får bukt med de höga prisstegringarna.,1982-10-08,Olof Palme
"Herr talman! Riksbanksfullmäktige har i dag på morgonen beslutat skriva ned den svenska kronans värde med 16 %. Denna åtgärd syftar fill att skapa förtroende för den svenska kronan och förbättra näringslivets konkurrenskraft både på de internationella markna derna och på hemmamarknaden. Tillsammans med en offensiv investerings politik ger detta en ordentlig stimulans för den svenska industrin. Devalveringen innebär att företagens kostnadsläge och lönsamhet kraffigt förbättras. Den utslagning av industriell kapacitet och sysselsättning som f. n. pågår skall därmed bromsas upp och förutsättningar skapas för ökad produkfion, investeringar och på sikt ökad sysselsättning. För att uppnå dessa syften och för att göra devalveringen fördelningspolitiskt acceptabel kommer bl. a. former av vinstdelning att föreslås, förmögenhetsbeskattning en att skärpas och subventioneringen av aktieägandet att begränsas. Vidare kommer särskilda åtgärder för att skydda utsatta grupper såsom barnfamiljer att övervägas. Devalveringen kommer att övergångsvis höja prisstegringstakten i den svenska ekonomin. Den kommer att leda till en viss sänkning av reallönerna och därmed den privata levnadsstandarden. Detta är en nödvändig förutsättning för att öka produktionen och sysselsättningen inom industrin och nedbringa vårt underskott gentemot utlandet. Det får ses som en nödvändig uppoffring för att reparera den svenska ekonomin efter utveck hngen under de senaste åren. Försök att kompensera sig för den engångs-anpassning som devalveringen utgör skulle enbart leda till bestående hög inflation och fallande sysselsättning. Regeringen hyser inga tvivel om att det svenska folket är berett fill uppoffringar, förutsatt att de ger resultat och att de fördelas rättvist. Nedskrivningen av kronan måste åtföljas av en stram finans- och budgetpolitik. Regeringen avser att genomföra en mycket hård utgiftspröv ning i det kommande budgetarbetet. Vissa skatter kommer att behöva höjas. Ett väsentligt led i arbetet med att förbättra statsfinanserna är en neddragning av subventionerna till näringslivet. Genom nedskrivningen av kronan och övriga åtgärder regeringen ämnar vidta skapas förutsättningar för att frigöra oss från subventionspolitiken. Regeringen avser att föreslå ett brett program för ökade investeringar inom främst områdena transporter, byggande, energi och miljövård. Ett särskilt program för reparationer, ombyggnader och tillbyggnader inom det befintliga bostadsbeståndet kommer att utarbetas. Regeringen ämnar satsa på ett bättre utnyttjande av Sveriges egna råvaruresurser. För att skogsindustrin skall kunna få de råvaror den behöver kommer åtgärder att vidtas som åstadkommer ökade skogsavverkningar inom ramen för ett uthålligt och ekonomiskt bärkraftigt skogsbruk. Ett investerings- och utvecklingsprogram för gruv- och mineralindustrin kom mer att utarbetas. Regeringen kommer att medverka till en balanserad tillväxt av den offentliga sektorn. Arbetet med att bygga ut och förbättra omsorgen för barnen och de äldre skall återupptas. För att så snabbt som möjligt hejda ökningen av arbetslösheten avser regeringen att sätta in arbetsmarknadspolifiska åtgärder med hela deras styrka. Särskilda åtgärder genomförs för att motverka den höga ungdoms arbetslösheten. Regeringen vill skapa goda förutsättningar för att kommuner och arbetsmarknadens parter skall kunna medverka aktivt i kampen mot ungdomsarbetslösheten. En central del av regeringens ekonomiska politik är att den övergångsvisa prisstegring som devalveringen medför skaU avlösas av en beslutsam kamp mot inflationen. Häri ingår att dämpa kostnadsutvecklingen samt att motverka spekulationsekonomin. För att begränsa prisökningarna i sam band med devalveringen införs allmänt prisstopp. En ökad kapitalbildning är en grundläggande förutsättning för att på sikt förverkliga en god ekonomisk utveckling och trygga framfidens sysselsätt ning. En sådan kapitalbildning kan förverkligas endast genom löntagarnas medverkan. Därmed bidrar löntagarna direkt till de nya investeringar som kan säkra sysselsättningen, inkomsterna och den sociala välfärden i framtiden. Med detta följer att löntagarna genom löntagarfonder bör få inflytande över resursernas användning. Regeringen kommer att inbjuda arbetsmarknadens parter, näringslivet och övriga parfier tiU överläggningar om utformningen av en ökad kapitalbildning under löntagarnas medverkan, samt om den fortsatta inriktningen av den ekonomiska politiken. De små och medelstora företagen utgör en viktig del av det svenska näringslivet. En stor del av den utveckUng och förnyelse som är nödvändig i industrin kommer att äga rum i de mindre företagen. Regeringen kommer att lägga fram förslag om insatser för de små och medelstora företagen. Samtidigt som åtgärder vidtas för att stärka och utveckla befintliga industrier krävs målmedvetna insatser för att långsiktigt bredda och utveckla vårt industriella och teknologiska kunnande. För en sådan utveckling är en högtstående teknisk forsknings- och utvecklingsverksamhet en nödvändig förutsättning. Det gäller även grundläggande forskning inom natur- och biovetenskaperna.",1982-10-08,Olof Palme
